Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,15.00,0.0021,31625.51,8760000.00,18743.28,8741256.72,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,1.00,0.0002,37436.76,8760000.00,1978.87,8758021.13,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,2.00,0.0003,30204.22,8760000.00,2453.22,8757546.78,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,3.00,0.0003,25315.53,8760000.00,2927.56,8757072.44,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,4.00,0.0004,21790.13,8760000.00,3401.90,8756598.10,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,5.00,0.0004,19127.55,8760000.00,3876.24,8756123.76,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,6.00,0.0005,17045.56,8760000.00,4350.58,8755649.42,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,7.00,0.0006,15372.94,8760000.00,4824.92,8755175.08,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,8.00,0.0006,13999.73,8760000.00,5299.27,8754700.73,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,9.00,0.0007,12852.18,8760000.00,5773.61,8754226.39,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,10.00,0.0007,11878.87,8760000.00,6247.95,8753752.05,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,11.00,0.0008,11042.92,8760000.00,6722.29,8753277.71,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,12.00,0.0008,10317.17,8760000.00,7196.63,8752803.37,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,13.00,0.0009,9681.17,8760000.00,7670.97,8752329.03,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,14.00,0.0009,9119.23,8760000.00,8145.32,8751854.68,0.00
Lat-12.05_Lon-77.04,site_2_Lima_Peru,-12.0464,-77.0428,1.00,0.00,15.00,0.0010,8619.16,8760000.00,8619.66,8751380.34,0.00
